id,symbol,current_price,market_cap,total_volume
bitcoin,btc,80475.0,1611741080103,34463041977
ethereum,eth,2274.42,274605508248,14667322250
tether,usdt,0.999666,189767130961,58709244970
ripple,xrp,1.43,88566079613,2164834519
binancecoin,bnb,655.98,88401527075,1123339744
usd-coin,usdc,0.999789,77153241839,12605243443
solana,sol,94.48,54625182245,3577410271
tron,trx,0.347838,32994795793,490009378
figure-heloc,figr_heloc,1.031,18211545569,21831017
dogecoin,doge,0.109001,16816630372,1164573017
bitcoin,btc,80475.0,1611741080103,34463041977,2026-05-12
ethereum,eth,2274.42,274605508248,14667322250,2026-05-12
tether,usdt,0.999666,189767130961,58709244970,2026-05-12
ripple,xrp,1.43,88566079613,2164834519,2026-05-12
binancecoin,bnb,655.98,88401527075,1123339744,2026-05-12
usd-coin,usdc,0.999789,77153241839,12605243443,2026-05-12
solana,sol,94.48,54625182245,3577410271,2026-05-12
tron,trx,0.347838,32994795793,490009378,2026-05-12
figure-heloc,figr_heloc,1.031,18211545569,21831017,2026-05-12
dogecoin,doge,0.109001,16816630372,1164573017,2026-05-12
